f(kHz),Vin (V),Vout (V),fase(deg),Vout/Vin(dB)
0.001,0.300,0.077,89,-11.81261059
0.01,0.300,0.725,87,7.664335037
0.015,0.300,1.04,80,10.79824169
0.02,0.300,1.36,71,13.12835307
0.03,0.300,1.820,60,15.65900267
0.05,0.300,2.44,43,18.20537143
0.08,0.300,2.88,32,19.64542466
0.1,0.300,2.98,25,19.94190019
0.12,0.300,3.06,19,20.17200344
0.14,0.300,3.14,18,20.39616787
0.16,0.300,3.2,16,20.56057447
0.18,0.300,3.21,14,20.58767555
0.5,0.300,3.3,0,20.8278537
0.8,0.300,3.27,0,20.74852996
1,0.300,3.27,-3,20.74852996
1.3,0.300,3.26,-4,20.72192691
1.4,0.300,3.26,-5,20.72192691
1.6,0.300,3.25,-6,20.69524213
2,0.300,3.25,-9,20.69524213
2.5,0.300,3.2,-10,20.56057447
3,0.300,3.2,-15,20.56057447
4.5,0.300,3.1,-20,20.28480878
5,0.320,3.06,-23,19.61142896
6,0.350,2.99,-25,18.63206288
7,0.350,2.9,-27,18.36659907
8,0.350,2.8,-30,18.06179974
9,0.350,2.7,-40,17.7459144
10,0.350,2.6,-41,17.41810607
10.2,0.360,2.58,-42,17.1063441
10.6,0.370,2.55,-47,16.76676913
11,0.380,2.5,-50,16.36312824
11.5,0.400,2.48,-51,15.84783379
11.7,0.400,2.44,-50,15.7065967
12,0.400,2.41,-51,15.59914102
12.5,0.400,2.35,-51,15.38015742
13,0.400,2.32,-51,15.26855987
13.5,0.400,2.28,-57,15.11749711
14,0.400,2.23,-57,14.92489743
15,0.400,2.15,-59,14.60756937
16,0.430,2.08,-62,13.69189759
17,0.430,1.9,-58,12.90570291
18,0.430,1.9,-65,12.90570291
19,0.430,1.8,-65,12.43608099
20,0.430,1.73,-64,12.09155295
21,0.430,1.65,-67,11.68030977
22,0.430,1.62,-70,11.52093118
25,0.430,1.44,-89,10.49788073
